segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;;Etiqueta;Vertical
0.03;0.47259649634361267;0.3597515821456909;-0.23625263571739197;0.5125012993812561;0.4131397604942322;-0.10555122792720795;0.44711339473724365;0.4194701313972473;-0.10132547467947006;0.5237876176834106;0.5073500871658325;-0.05521919205784798;0.44063326716423035;0.5157285332679749;-0.060829319059848785;0.4977504014968872;0.5870172381401062;-0.0053723519667983055;0.4599478840827942;0.5865326523780823;0.005286278203129768;0.49701574444770813;0.7259021997451782;-0.009380892850458622;0.4617462456226349;0.727018415927887;0.006205790676176548;0.47807107865810394;0.34151715636253355;-0.2397328421473503;0.5258985608816147;0.6117665022611618;-0.13415736332535744;0.4402428865432739;0.6247932314872742;-0.14527195319533348;0.491000364224116;0.8715411027272543;0.05242368423690399;0.4655122458934784;0.8693220814069113;0.07434628500292699;;vertical;frontal
0.07;0.4725962281227112;0.36014318466186523;-0.25084182620048523;0.5124923586845398;0.4131672978401184;-0.1140768751502037;0.4464694559574127;0.419978529214859;-0.11859984695911407;0.5229471921920776;0.5074679255485535;-0.060308147221803665;0.4401279389858246;0.5192760825157166;-0.0768217071890831;0.4978412091732025;0.5869291424751282;-0.004237458109855652;0.4600332975387573;0.586603581905365;0.004145510960370302;0.4968249201774597;0.7257915735244751;-0.004562336951494217;0.46242755651474;0.727603018283844;0.0062541663646698;0.47817522585391997;0.3418271094560623;-0.2553911194205284;0.5251378566026688;0.6119897067546844;-0.14207021705806255;0.440231092274189;0.62824846804142;-0.1576048657298088;0.4912729064623515;0.869634727636973;0.06693436950445175;0.4657294452190399;0.8693820238113403;0.07933781544367473;;vertical;frontal
0.1;0.472584068775177;0.36037778854370117;-0.2571481466293335;0.5124900341033936;0.41318491101264954;-0.11851570010185242;0.44604265689849854;0.4203723073005676;-0.12416914850473404;0.5224574208259583;0.5076572895050049;-0.06368286907672882;0.4398501515388489;0.5207039713859558;-0.08181712031364441;0.4978989362716675;0.5868838429450989;-0.003534844843670726;0.4601079821586609;0.5866636037826538;0.0034387039486318827;0.49667665362358093;0.7257891297340393;-0.002032063202932477;0.46293210983276367;0.7281255722045898;0.00638677878305316;0.47824784815311433;0.3420512080192566;-0.2619368612766266;0.5246389210224152;0.612167552113533;-0.14653515070676804;0.440221831202507;0.629939392209053;-0.1626766361296177;0.4913981258869171;0.8687289158503214;0.072028457497557;0.465872863928477;0.8694257338841757;0.08219887192050616;;vertical;frontal
0.13;0.47256866097450256;0.36056968569755554;-0.26691630482673645;0.5124788284301758;0.4132358431816101;-0.12620007991790771;0.4458088278770447;0.42065903544425964;-0.13214991986751556;0.5221163034439087;0.5083149671554565;-0.07141177356243134;0.43960097432136536;0.52177494764328;-0.09037439525127411;0.49792131781578064;0.5867907404899597;-0.003431383054703474;0.46013057231903076;0.5866633057594299;0.0033324030227959156;0.4964821934700012;0.7257855534553528;-0.0014803260564804077;0.46318015456199646;0.7284108400344849;0.00753963366150856;0.4782825857400894;0.34218911826610565;-0.2717128872871399;0.5242237001657486;0.6127801686525345;-0.15357474237680435;0.44020891934633255;0.6310236006975174;-0.17110882699489594;0.49145206809043884;0.8681680957476298;0.0724234397833546;0.4659786323706309;0.8695429563522339;0.08428529898325603;;vertical;frontal
0.17;0.47254928946495056;0.3608754873275757;-0.2609845995903015;0.5124216079711914;0.4132395386695862;-0.12232127040624619;0.44563737511634827;0.420746773481369;-0.12691591680049896;0.5218439698219299;0.508327066898346;-0.06820400059223175;0.43927299976348877;0.5219894647598267;-0.08525985479354858;0.497921347618103;0.586596667766571;-0.0034041637554764748;0.46013930439949036;0.5866637825965881;0.003304790472611785;0.4963102638721466;0.7257465124130249;-0.0019469140097498894;0.46326252818107605;0.7285085320472717;0.007574706804007292;0.4783011734485626;0.34239970743656156;-0.26565833687782286;0.5237157493829727;0.6127495914697647;-0.15006409212946892;0.4402148500084877;0.6309708654880524;-0.166615791618824;0.4915113051732381;0.8675752480824789;0.0715236198157072;0.4660856823126475;0.869552214940389;0.08394124669333299;;vertical;frontal
0.2;0.47252365946769714;0.3611268699169159;-0.25719889998435974;0.5123927593231201;0.41323962807655334;-0.12061314284801483;0.4455445408821106;0.42084938287734985;-0.12293118983507156;0.5216277241706848;0.5083539485931396;-0.06775235384702682;0.43897613883018494;0.5224100351333618;-0.08148591965436935;0.49792036414146423;0.5865388512611389;-0.0034323660656809807;0.4601411521434784;0.586668074131012;0.003333474276587367;0.49609652161598206;0.7257557511329651;-0.0018510519294068217;0.463286817073822;0.7285144329071045;0.0077974372543394566;0.4783078908920288;0.34256839454174043;-0.2615438878536224;0.5234420150518417;0.6126094162464142;-0.1480141207575798;0.4402133449912071;0.6309247612953186;-0.1634489707648754;0.4915693402290344;0.8671367963155111;0.07245640798161428;0.4662271936734517;0.8695410291353861;0.08460432166854541;;vertical;frontal
0.23;0.4724462032318115;0.36176303029060364;-0.2556666135787964;0.5123257040977478;0.4131527245044708;-0.11930619180202484;0.4454747438430786;0.42085984349250793;-0.1214057207107544;0.5214748978614807;0.508272647857666;-0.06687484681606293;0.4388658404350281;0.5225851535797119;-0.07992524653673172;0.4979115128517151;0.5865296125411987;-0.0034445105120539665;0.4601454734802246;0.5867004990577698;0.003345427569001913;0.4959540367126465;0.7257983088493347;-0.001971100689843297;0.46330636739730835;0.7286016941070557;0.008212029002606869;0.4782841891050339;0.3428962081670761;-0.26025398820638657;0.5231074690818787;0.6125977039337158;-0.14732341468334198;0.4402393028140068;0.6308871358633041;-0.16263462230563164;0.4915817677974701;0.8669182658195496;0.07506061686823766;0.46630919973055523;0.8695630033810934;0.08701871521770954;;vertical;frontal
0.27;0.47243937849998474;0.36245763301849365;-0.26009249687194824;0.512286365032196;0.4130198657512665;-0.1208646148443222;0.44542890787124634;0.4208884835243225;-0.12460579723119736;0.52134770154953;0.5081258416175842;-0.06638121604919434;0.4387238025665283;0.5226163268089294;-0.08235891908407211;0.4979105591773987;0.5863052010536194;-0.003478096565231681;0.4601542353630066;0.5866926312446594;0.003379024798050523;0.495841920375824;0.7257619500160217;-0.002018683822825551;0.46331748366355896;0.7286012172698975;0.008606953546404839;0.47827855348587034;0.343393674492836;-0.2653470754623413;0.5228172093629837;0.6125864088535309;-0.1476721614599228;0.44023580849170685;0.6308221071958542;-0.16538191959261894;0.4915541211764018;0.8667241930961609;0.07424103965361913;0.4664246141910553;0.8695904811223348;0.08662241076429684;;vertical;frontal
0.3;0.4724505841732025;0.36363059282302856;-0.265388548374176;0.5122673511505127;0.41261646151542664;-0.12387274950742722;0.44538795948028564;0.4208914339542389;-0.12862259149551392;0.5212505459785461;0.5080018639564514;-0.06768108159303665;0.43862149119377136;0.5225915908813477;-0.08582397550344467;0.49789878726005554;0.5860280394554138;-0.0035029861610382795;0.46015486121177673;0.5866824984550476;0.0034038745798170567;0.49571314454078674;0.7257024645805359;0.00015045594773255289;0.46333473920822144;0.728486955165863;0.009989248588681221;0.4782859027385712;0.3442214637994766;-0.271114693582058;0.522687554359436;0.6126017868518829;-0.15043800696730614;0.44025105237960815;0.6307661980390549;-0.16956812143325806;0.4915476342042287;0.8667526841163635;0.07295927653710048;0.46649085481961566;0.8696183164914449;0.08602654499312241;;vertical;frontal
0.33;0.47236117720603943;0.3654603362083435;-0.27480757236480713;0.5122201442718506;0.41247764229774475;-0.13289356231689453;0.4453858435153961;0.4208924174308777;-0.1351456642150879;0.5212120413780212;0.5076832175254822;-0.07399740070104599;0.43858110904693604;0.5225603580474854;-0.08931633085012436;0.49788525700569153;0.5858808159828186;-0.003709916491061449;0.4601403474807739;0.5866833329200745;0.003608469385653734;0.4955584406852722;0.7256170511245728;0.0008623158792033792;0.46333226561546326;0.7284555435180664;0.011478054337203503;0.4782604306936264;0.3457368463277817;-0.2818449527025223;0.5225921124219894;0.6127000600099564;-0.1562713012099266;0.44024960696697235;0.6306301206350327;-0.17277541384100914;0.49149415890375775;0.8667911489804586;0.07216973664859931;0.4665209949016571;0.869814376036326;0.08571970090270042;;vertical;frontal
