segundo,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_23_x,landmark_23_y,landmark_23_z,landmark_24_x,landmark_24_y,landmark_24_z,landmark_25_x,landmark_25_y,landmark_25_z,landmark_26_x,landmark_26_y,landmark_26_z,cara_prom_x,cara_prom_y,cara_prom_z,mano_izquierda_prom_x,mano_izquierda_prom_y,mano_izquierda_prom_z,mano_derecha_prom_x,mano_derecha_prom_y,mano_derecha_prom_z,pie_izquierdo_prom_x,pie_izquierdo_prom_y,pie_izquierdo_prom_z,pie_derecho_prom_x,pie_derecho_prom_y,pie_derecho_prom_z,Unnamed: 43,Etiqueta,Vista
0.03,0.480084478855133,0.353042870759964,-0.1994207203388214,0.5211272239685059,0.4092605412006378,-0.0820715799927711,0.4559525549411773,0.4108947813510895,-0.06624636054039,0.5289434790611267,0.5023396015167236,-0.0428085327148437,0.4476061761379242,0.5059957504272461,-0.027477303519845,0.5063363313674927,0.5864196419715881,-0.010671732947230339,0.4693730473518371,0.5835645198822021,0.0106319319456815,0.505847156047821,0.7198323607444763,-0.0018846136517822742,0.4716113209724426,0.7210260629653931,0.0143362982198596,0.4853358864784241,0.332807919383049,-0.2023380026221275,0.5300895422697067,0.6078356206417084,-0.1254835911095142,0.4473171830177307,0.6150201261043549,-0.1183870993554592,0.5001599192619324,0.8609672784805298,0.0698008686304092,0.474625696738561,0.8649987777074178,0.088164381061991,,vertical,frontal
0.07,0.4800190031528473,0.3530557453632355,-0.2179900258779525,0.5211455821990967,0.4092312157154083,-0.0920969098806381,0.4553916752338409,0.4116640090942383,-0.0858919918537139,0.5289433598518372,0.5035061240196228,-0.043455883860588,0.4473165869712829,0.5083897709846497,-0.0444871895015239,0.5064647793769836,0.5851661562919617,-0.00803046952933073,0.4693844020366668,0.5835630297660828,0.0079713771119713,0.5053558349609375,0.7203103303909302,0.002838270738720894,0.4718919098377228,0.7221652865409851,0.012921749614179134,0.4853617250919342,0.3328823328018188,-0.2215816512703895,0.5302335917949677,0.6081713885068893,-0.1257098577916622,0.4479039087891578,0.6156343817710876,-0.1287442110478878,0.5002920627593994,0.8617013891537985,0.0713967777167757,0.4753090739250183,0.8653387626012167,0.0868440972020228,,vertical,frontal
0.1,0.4799641966819763,0.353067547082901,-0.2220272570848465,0.5211625099182129,0.409186840057373,-0.0952181369066238,0.4550336003303528,0.4121161103248596,-0.0891899466514587,0.5289440155029297,0.504030704498291,-0.0444992259144783,0.4471444189548492,0.5095712542533875,-0.0471967048943042,0.5065702795982361,0.5844234228134155,-0.006964213214814663,0.4693901836872101,0.5835612416267395,0.0068992194719612,0.5050662159919739,0.7205010056495667,0.004023709334433079,0.4720652997493744,0.7228060960769653,0.012252005748450756,0.4853805243968964,0.3329445689916611,-0.2257444605231285,0.5303433388471603,0.6083752065896988,-0.1265562120825052,0.4482621848583221,0.6160178631544113,-0.1311035118997097,0.5004149774710337,0.8618690172831217,0.074556247331202,0.4756787220637004,0.8654502232869467,0.0869839545339346,,vertical,frontal
0.13,0.4799592494964599,0.3531337380409241,-0.2229010611772537,0.5211723446846008,0.4090839028358459,-0.0959325209259986,0.4548528492450714,0.4121975004673004,-0.0898740887641906,0.5289444923400879,0.5045058727264404,-0.0449281372129917,0.4468729496002197,0.5100435018539429,-0.0480302199721336,0.5066182017326355,0.5839918255805969,-0.0063212658278644085,0.4693905711174011,0.5835607647895813,0.0062567722052335,0.5048658847808838,0.7205235362052917,0.005325961392372847,0.4721584022045135,0.7230660915374756,0.011731424368917942,0.4854171007871627,0.3330286741256714,-0.2267813667654991,0.5304256975650787,0.6086204648017883,-0.1267679538577795,0.4484684839844703,0.6162246912717819,-0.1322158370167017,0.5004837910334269,0.8619317213694254,0.0755514518047372,0.475881685813268,0.8655623992284139,0.0867353472858667,,vertical,frontal
0.17,0.4799586534500122,0.3531613945960998,-0.2250643968582153,0.521172821521759,0.4089788794517517,-0.0971533954143524,0.4547297656536102,0.4122171103954315,-0.0918505787849426,0.5289486646652222,0.5047379732131958,-0.0452464558184146,0.4466261565685272,0.5101633071899414,-0.0502344444394111,0.5066254138946533,0.5835621953010559,-0.006153448019176722,0.4693813621997833,0.5835197567939758,0.0060886587016284,0.5046960711479187,0.720566987991333,0.005644558928906918,0.4721910357475281,0.7232493758201599,0.011705068871378899,0.485460963845253,0.3330930918455124,-0.2290262699127197,0.5305042862892151,0.6089154332876205,-0.1268047094345092,0.4486619755625725,0.6163495630025864,-0.1345667969435453,0.5005100866158804,0.8620690902074178,0.0751547130445639,0.4759601950645447,0.8657140135765076,0.0858124711861213,,vertical,frontal
0.2,0.4799641370773315,0.3532418608665466,-0.2315864711999893,0.5211739540100098,0.4089268445968628,-0.1014713644981384,0.4546672403812408,0.4122428894042969,-0.0961607918143272,0.528977632522583,0.5049633383750916,-0.0481065697968006,0.4464476108551025,0.510150671005249,-0.0537177920341491,0.5066140294075012,0.5832117199897766,-0.006124804262071848,0.4693504273891449,0.5834289193153381,0.0060608433559536,0.5044693350791931,0.7205832004547119,0.005373802036046982,0.4721984565258026,0.7233949899673462,0.011761285364627838,0.4855206280946731,0.3332696229219437,-0.2358960837125778,0.5305617153644562,0.6092229634523392,-0.1293738484382629,0.4489262029528618,0.6164630055427551,-0.138208907097578,0.5005222856998444,0.862067461013794,0.074946392327547,0.4759742220242818,0.8658127188682556,0.0858442826817433,,vertical,frontal
0.23,0.4799725413322449,0.3535365760326385,-0.2376036942005157,0.5211579203605652,0.4088063836097717,-0.1049266010522842,0.4545407891273498,0.4124652445316314,-0.1003013923764228,0.5289803147315979,0.5051721334457397,-0.050568550825119,0.4463346004486084,0.5104333758354187,-0.0568985752761364,0.5066142082214355,0.583092451095581,-0.006148124113678932,0.4693509638309479,0.5834205150604248,0.0060857064090669,0.5042884349822998,0.7206064462661743,0.007108683697879314,0.4721987247467041,0.7234501242637634,0.0124509297311306,0.4855892658233642,0.333648282289505,-0.2419884279370308,0.5306466519832611,0.6096338331699371,-0.1321544032543897,0.4491811767220497,0.6167194843292236,-0.1420973557978868,0.5005476574103037,0.8620060483614603,0.0762045392766594,0.4759970506032308,0.865864078203837,0.0860766184826691,,vertical,frontal
0.27,0.4799721837043762,0.3558982908725738,-0.2475108504295349,0.5211576223373413,0.4088050425052643,-0.1111723184585571,0.454488456249237,0.4124951660633087,-0.1069282889366149,0.5289790630340576,0.506191611289978,-0.0542256794869899,0.4462726414203644,0.5105029940605164,-0.0615744590759277,0.5066196322441101,0.583047091960907,-0.006066780537366867,0.4693511724472046,0.5834103226661682,0.006004087626934,0.5041140913963318,0.720625638961792,0.007758390624076128,0.4722049534320831,0.7234544157981873,0.012954847887158394,0.4856141567230224,0.3353433281183243,-0.2531221732497215,0.530767947435379,0.6104114204645157,-0.1346033606678247,0.4493009224534035,0.6170106381177902,-0.1467342935502529,0.5005469222863516,0.8619903326034546,0.0772547920544942,0.4760181208451589,0.8659065167109171,0.086737938846151,,vertical,frontal
0.3,0.4799832105636596,0.3593645095825195,-0.2634622752666473,0.5210615396499634,0.4086556732654571,-0.1225311830639839,0.454258531332016,0.4125345349311828,-0.1182572692632675,0.528979480266571,0.5061694979667664,-0.0633971542119979,0.4462115466594696,0.5107334852218628,-0.069063976407051,0.506525993347168,0.5830565094947815,-0.005944162141531706,0.4692911803722381,0.5834544897079468,0.0058798617683351,0.5039942860603333,0.7206579446792603,0.0080892164260149,0.4722100794315338,0.7234689593315125,0.01395205594599247,0.485646852850914,0.338283908367157,-0.2702160999178886,0.5308938473463058,0.6110837906599045,-0.1435607578605413,0.4493653029203415,0.6173027902841568,-0.1537349857389927,0.5005705455938975,0.8619498809178671,0.0775374273459116,0.476052463054657,0.8659074703852335,0.0878219710042079,,vertical,frontal
0.33,0.4799806773662567,0.3622277081012726,-0.2788992822170257,0.5210191011428833,0.4085756540298462,-0.1360292881727218,0.4540859162807464,0.4127522706985473,-0.1307233422994613,0.5289417505264282,0.5061236023902893,-0.077417068183422,0.4461361169815063,0.5112883448600769,-0.0802595689892768,0.5063965320587158,0.5830355286598206,-0.00595783581957221,0.4691649079322815,0.583609402179718,0.0058925566263496,0.5039536356925964,0.72063809633255,0.008297475054860115,0.4722083508968353,0.7235245108604431,0.016141269356012344,0.4856374204158783,0.3410057812929153,-0.2864984169602394,0.5309705287218094,0.6114259511232376,-0.1574233509600162,0.4494471698999405,0.6176465600728989,-0.1640704236924648,0.5005894800027212,0.8617786367734274,0.0772328848640124,0.4760819673538208,0.8658615350723267,0.0896667428314685,,vertical,frontal
