segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;Etiqueta;Vista
0.03;0.4628613591194153;0.31599074602127075;-0.1870853453874588;0.5064656734466553;0.38482391834259033;-0.06878680735826492;0.43598026037216187;0.38485094904899597;-0.05790458619594574;0.514627993106842;0.4864152669906616;-0.033767201006412506;0.42713847756385803;0.49463874101638794;-0.02365840971469879;0.4916282296180725;0.5725950002670288;-0.005206600297242403;0.44957807660102844;0.5754015445709229;0.005178648512810469;0.49729299545288086;0.7215697765350342;-0.009682797826826572;0.4500878155231476;0.729328453540802;-0.001494581694714725;0.46808321177959444;0.29490854442119596;-0.1890325978398323;0.5107990056276321;0.5981389135122299;-0.12562455981969833;0.42286767065525055;0.6136598736047745;-0.11939943209290504;0.5012048582235972;0.8840248584747314;0.05267543407777945;0.44805172085762024;0.8859738310178121;0.06998845647710066;vertical;frontal
0.07;0.46250635385513306;0.3159835934638977;-0.201261967420578;0.5062695741653442;0.38480427861213684;-0.07910638302564621;0.43553996086120605;0.3848065733909607;-0.07162973284721375;0.512904942035675;0.48794716596603394;-0.03886950761079788;0.42700067162513733;0.49386370182037354;-0.03902215510606766;0.49162355065345764;0.5724790096282959;-0.004803996533155441;0.44938430190086365;0.5754047632217407;0.004757886752486229;0.4963620603084564;0.7228760123252869;-0.010819054208695889;0.4500879645347595;0.7300906777381897;-0.0018687010742723942;0.4678917944431305;0.2950515657663345;-0.20366442799568177;0.5117753148078918;0.5983559638261795;-0.1256807241588831;0.4234612211585045;0.6116017699241638;-0.12531238421797752;0.5010888278484344;0.884907066822052;0.04559394406775633;0.44821473956108093;0.8867788314819336;0.06590226533201833;vertical;frontal
0.1;0.46212831139564514;0.31598979234695435;-0.19832292199134827;0.506080687046051;0.3848015367984772;-0.07729201763868332;0.4351935088634491;0.3847073018550873;-0.06894181668758392;0.5121338963508606;0.48921334743499756;-0.03720150887966156;0.4267682433128357;0.4931062161922455;-0.038131434470415115;0.4916304051876068;0.5723659992218018;-0.004683923441916704;0.4493412375450134;0.5754042267799377;0.004635009448975325;0.4955911934375763;0.7241184711456299;-0.010795358568429947;0.4500550925731659;0.7308328151702881;-0.0018571148393675685;0.4676986575126648;0.2952116549015045;-0.20047250390052795;0.5131189078092575;0.598914384841919;-0.12201379612088203;0.4242728650569916;0.6091142147779465;-0.12642709910869598;0.5009408493836721;0.8854618469874064;0.04629857155183951;0.44830278555552167;0.8872913320859274;0.06593286409042776;vertical;frontal
0.13;0.46184179186820984;0.31600427627563477;-0.19749566912651062;0.505847156047821;0.38477590680122375;-0.07257147133350372;0.4349610209465027;0.38455191254615784;-0.06825385242700577;0.5117650628089905;0.4894334375858307;-0.032176725566387177;0.4265759587287903;0.4921555817127228;-0.036270592361688614;0.4916381537914276;0.572159469127655;-0.004523428622633219;0.449336439371109;0.5753762722015381;0.0044750371016561985;0.49509650468826294;0.7250683307647705;-0.010778361931443214;0.45001670718193054;0.7315493822097778;-0.0021514606196433306;0.46755764484405515;0.2953516632318497;-0.1992155686020851;0.5144338309764862;0.5988653600215912;-0.11843264847993851;0.42485516518354416;0.607784315943718;-0.12604941613972187;0.5008358458677927;0.8858713706334432;0.04638823183874289;0.4484377404054006;0.8877603610356649;0.06446018628776073;vertical;frontal
0.17;0.46164432168006897;0.3159838616847992;-0.18924792110919952;0.5055606365203857;0.3847658038139343;-0.06462039053440094;0.4348661005496979;0.3842301368713379;-0.06235727295279503;0.5114420056343079;0.4898430109024048;-0.024901386350393295;0.426452100276947;0.4911781847476959;-0.03504175692796707;0.4916086792945862;0.5720706582069397;-0.004416558891534805;0.4492981433868408;0.5753578543663025;0.004369746893644333;0.494700163602829;0.7258518934249878;-0.010772168636322021;0.4499581754207611;0.7324954271316528;-0.002201757160946727;0.46745950877666476;0.2953924506902695;-0.19052920788526534;0.5153837651014328;0.5989214926958084;-0.11160227097570896;0.4252467527985573;0.606567308306694;-0.12556961923837662;0.5007139146327972;0.8859230081240336;0.04671127970019976;0.44850603739420575;0.8879811962445577;0.06438002750898401;vertical;frontal
0.2;0.4614788293838501;0.31592264771461487;-0.19422918558120728;0.5052229166030884;0.38467738032341003;-0.0649699866771698;0.43467971682548523;0.3840765357017517;-0.06602790206670761;0.5111676454544067;0.49061647057533264;-0.026258358731865883;0.42640525102615356;0.4908173382282257;-0.03868672624230385;0.4915269911289215;0.5716753005981445;-0.003652161918580532;0.449251651763916;0.5751712918281555;0.00360307889059186;0.4945230185985565;0.7262650728225708;-0.010354658588767052;0.44993042945861816;0.7331196069717407;-0.0028529735282063484;0.4673869013786316;0.29536453187465667;-0.1954900234937668;0.5158173739910126;0.5990222543478012;-0.11374003998935223;0.4255271852016449;0.6064547598361969;-0.1296555995941162;0.5006865859031677;0.8857244253158569;0.04680364392697811;0.44855964183807373;0.8881153265635172;0.06388695631176233;vertical;frontal
0.23;0.4613695442676544;0.3158790171146393;-0.19473107159137726;0.5049141049385071;0.384631484746933;-0.06570097804069519;0.4343401789665222;0.3840691149234772;-0.0665324255824089;0.511131227016449;0.4912562370300293;-0.026389293372631073;0.4262039363384247;0.49091294407844543;-0.03946327790617943;0.49127277731895447;0.571580171585083;-0.0035411615390330553;0.44901537895202637;0.5750901103019714;0.0034923714119940996;0.49444183707237244;0.7266987562179565;-0.010164576582610607;0.4497871398925781;0.7334047555923462;-0.0028442819602787495;0.4673433184623718;0.29532899856567385;-0.1958911046385765;0.5159328877925873;0.5992570370435715;-0.11424894258379936;0.42565521597862244;0.6065523773431778;-0.13070449233055115;0.5006012419859568;0.8853442470232645;0.047065455466508865;0.4485726555188497;0.8881086309750875;0.06397005170583725;vertical;frontal
0.27;0.46125632524490356;0.31583431363105774;-0.19526496529579163;0.5046612620353699;0.3846202790737152;-0.0668877586722374;0.4339195787906647;0.3840629756450653;-0.06694753468036652;0.5110710859298706;0.4914183020591736;-0.026490284129977226;0.4259917140007019;0.4910641610622406;-0.03931877389550209;0.49100250005722046;0.5712526440620422;-0.003536385018378496;0.44876620173454285;0.5748929381370544;0.003487642388790846;0.49430790543556213;0.7270109057426453;-0.010141036473214626;0.4495590031147003;0.7337484955787659;-0.0029628463089466095;0.46726441383361816;0.29527491629123687;-0.19638831913471222;0.5159216225147247;0.5992778986692429;-0.11515193060040474;0.42566027492284775;0.6063555181026459;-0.13060461543500423;0.5005571444829305;0.8849128286043803;0.047220420092344284;0.44854405522346497;0.8881917794545492;0.06298686641578873;vertical;frontal
0.3;0.4612312316894531;0.3157570958137512;-0.19157156348228455;0.5044534206390381;0.3845762014389038;-0.06581664830446243;0.43340644240379333;0.3840397894382477;-0.06513966619968414;0.5109354853630066;0.49137794971466064;-0.026110772043466568;0.42585816979408264;0.4911491572856903;-0.03913178667426109;0.49064555764198303;0.5712236166000366;-0.003543541766703129;0.4482780396938324;0.5748617649078369;0.003495480865240097;0.49421513080596924;0.7271577715873718;-0.010270976461470127;0.4489282965660095;0.733906090259552;-0.0030206937808543444;0.4672248125076294;0.295197057723999;-0.19238135293126107;0.5158143937587738;0.5993167161941528;-0.11388063244521618;0.42557012289762497;0.6063863337039948;-0.12941300123929977;0.5000771979490916;0.884774367014567;0.047201490650574364;0.4484138290087382;0.888241728146871;0.06247752237444123;vertical;frontal
0.33;0.4611976146697998;0.3156668543815613;-0.1772795468568802;0.5042834877967834;0.3844844102859497;-0.05797460302710533;0.4330371916294098;0.3837617337703705;-0.05236807465553284;0.5102829337120056;0.49134573340415955;-0.02269136719405651;0.42572107911109924;0.49048104882240295;-0.02902335673570633;0.4904250502586365;0.5712563395500183;-0.004266601055860519;0.44783902168273926;0.5748748183250427;0.004232922103255987;0.4942314326763153;0.7266508936882019;-0.01149717252701521;0.4482494592666626;0.7340879440307617;-0.0023407316766679287;0.46718756556510926;0.2950648844242096;-0.17801316156983377;0.5157162100076675;0.5993288159370422;-0.11258606240153313;0.4251865968108177;0.6053136736154556;-0.12328142672777176;0.4999313751856486;0.884640097618103;0.04579409025609493;0.448343684275945;0.8882823387781779;0.0627872385084629;vertical;frontal
