segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;;Vista
0.03;0.5105887055397034;0.3077772855758667;-0.09395888447761536;0.4911819398403168;0.36175626516342163;0.08227375149726868;0.4899463653564453;0.3587428331375122;-0.20748169720172882;0.4965088367462158;0.47066935896873474;0.10842236131429672;0.4915171265602112;0.4702727198600769;-0.2429387867450714;0.49046796560287476;0.5407024621963501;0.0914006307721138;0.49480459094047546;0.5409826040267944;-0.09143763780593872;0.4913393557071686;0.6834167838096619;0.11705941706895828;0.4930082857608795;0.6886885762214661;-0.06435371935367584;0.5080206632614136;0.28743728399276736;-0.08254893124103546;0.5058452039957047;0.5708200186491013;0.047018496319651604;0.5173167884349823;0.5785086750984192;-0.23704519495368004;0.49387877186139423;0.8300848007202148;0.17637982964515686;0.4946816364924113;0.8529921174049377;-0.03476211087157329;;lateral
0.07;0.5110011100769043;0.30673840641975403;-0.09161915630102158;0.4904349446296692;0.362096905708313;0.0819932073354721;0.49034038186073303;0.3589536249637604;-0.20349641144275665;0.4892547130584717;0.4700119197368622;0.10334000736474991;0.4925527274608612;0.47034695744514465;-0.2345670908689499;0.4889819920063019;0.5415123105049133;0.0895385593175888;0.49446621537208557;0.5413658022880554;-0.08956803381443024;0.4915793836116791;0.6836948990821838;0.1118929535150528;0.4930298328399658;0.6884645819664001;-0.06645159423351288;0.5083711326122284;0.28621235191822053;-0.07968134861439466;0.5035811811685562;0.5706139206886292;0.04663512762635946;0.5174804776906967;0.5774521082639694;-0.23106784373521805;0.49385322133700055;0.8304011424382528;0.16608765721321106;0.49448402722676593;0.8521510163942972;-0.04461411076287428;;lateral
0.1;0.5112597346305847;0.3061179220676422;-0.09340853989124298;0.49018412828445435;0.3623611629009247;0.07720226049423218;0.4905572235584259;0.3592623472213745;-0.20373567938804626;0.4878805875778198;0.46967315673828125;0.09693414717912674;0.4929797351360321;0.4704907536506653;-0.23530855774879456;0.4881559908390045;0.5416178107261658;0.08818328380584717;0.4936695694923401;0.541408896446228;-0.08821221441030502;0.49163129925727844;0.6836206912994385;0.11210360378026962;0.4930325150489807;0.6876867413520813;-0.07033457607030869;0.5085054218769074;0.28541973531246184;-0.08138766456395388;0.5027809143066406;0.5707322508096695;0.04410461988300085;0.5174923539161682;0.5772099941968918;-0.23167601972818375;0.493714839220047;0.8296347459157308;0.16789650420347849;0.49423686663309735;0.8508105675379435;-0.0558660663664341;;lateral
0.13;0.5113299489021301;0.3057597875595093;-0.0950712189078331;0.4900847375392914;0.36262089014053345;0.07494916021823883;0.4906579554080963;0.3597958981990814;-0.20385895669460297;0.4879881739616394;0.4694841802120209;0.09503687918186188;0.49316874146461487;0.47097495198249817;-0.2353966385126114;0.48754122853279114;0.5416390895843506;0.08761247247457504;0.49300697445869446;0.5414606332778931;-0.08764076232910156;0.4916381537914276;0.6835776567459106;0.11396732181310654;0.4930883049964905;0.6874260306358337;-0.0758378878235817;0.5085236966609955;0.2849516779184341;-0.08313875291496516;0.5028494074940681;0.5708651095628738;0.043510966934263706;0.5173967778682709;0.5773478150367737;-0.23160428181290627;0.49353404839833576;0.82870485385259;0.17510667443275452;0.4941848913828532;0.8502136866251627;-0.06901517137885094;;lateral
0.17;0.5115711092948914;0.3053130805492401;-0.09621312469244003;0.49008873105049133;0.3627467751502991;0.07417900860309601;0.49069514870643616;0.3600345253944397;-0.20412205159664154;0.4882184565067291;0.46899276971817017;0.09444550424814224;0.4930814802646637;0.4709838926792145;-0.23600102961063385;0.4873896539211273;0.5418317317962646;0.08729051053524017;0.4926726520061493;0.5416933298110962;-0.08732014149427414;0.4916650950908661;0.6834816336631775;0.1141052395105362;0.49308788776397705;0.6873327493667603;-0.07522473484277725;0.50864537358284;0.28451925814151763;-0.08430661596357822;0.5031405091285706;0.5706299245357513;0.042207475285977125;0.5171975046396255;0.5774023681879044;-0.23188401758670807;0.49345332384109497;0.828255315621694;0.1752838691075643;0.49412786960601807;0.85017063220342;-0.06504943470160167;;lateral
0.2;0.5115801692008972;0.3051684498786926;-0.10084879398345947;0.49008870124816895;0.36284303665161133;0.06989698857069016;0.49061673879623413;0.3602707087993622;-0.2073611170053482;0.48852869868278503;0.46842867136001587;0.09146127849817276;0.49281394481658936;0.4711984694004059;-0.23762477934360504;0.4873332381248474;0.5420555472373962;0.08664876222610474;0.4922785460948944;0.5419865846633911;-0.08668273687362671;0.49167701601982117;0.6831030249595642;0.11693819612264633;0.4928877055644989;0.687100350856781;-0.07449376583099365;0.5086509108543396;0.2843291133642197;-0.08926955219358206;0.5035673230886459;0.5703600645065308;0.03853311948478222;0.5169103294610977;0.5775438249111176;-0.23501084372401237;0.4933817684650421;0.8278073867162069;0.18218649427096048;0.49402619401613873;0.8501836458841959;-0.06372424463431041;;lateral
0.23;0.5116534233093262;0.30488041043281555;-0.10290349274873734;0.49008625745773315;0.36304837465286255;0.06788366287946701;0.4905605912208557;0.3606303036212921;-0.20900580286979675;0.48854580521583557;0.4682718813419342;0.08926241099834442;0.49262791872024536;0.47206559777259827;-0.238603875041008;0.48711538314819336;0.5422461032867432;0.08631763607263565;0.49188506603240967;0.5422592759132385;-0.0863543450832367;0.4916229248046875;0.6830068826675415;0.11732613295316696;0.49248266220092773;0.6870622634887695;-0.0737527385354042;0.5086759448051452;0.2840445190668106;-0.09145535994321108;0.5035556852817535;0.5704141557216644;0.03545819874852896;0.5168091356754303;0.578019455075264;-0.23605739325284958;0.4932747781276703;0.8275750875473022;0.18185381591320038;0.4939724604288737;0.8502451578776041;-0.060668556640545525;;lateral
0.27;0.5116609334945679;0.30464187264442444;-0.10338328033685684;0.49002718925476074;0.3631041347980499;0.06732336431741714;0.4904192090034485;0.3607432246208191;-0.21007032692432404;0.48853549361228943;0.4680301249027252;0.08900748193264008;0.4923873543739319;0.4723704755306244;-0.23939235508441925;0.4870274066925049;0.5423414707183838;0.08624722063541412;0.4915303885936737;0.5423288941383362;-0.08628616482019424;0.4916231334209442;0.6830056309700012;0.11647076904773712;0.4922024607658386;0.6870226263999939;-0.07292239367961884;0.5086633622646332;0.2838482350111008;-0.09196760803461075;0.5034933015704155;0.5707617998123169;0.03459474444389343;0.5165156424045563;0.5782300233840942;-0.23723426461219788;0.4932739535967509;0.8276987274487814;0.17921283841133118;0.49394822120666504;0.8502930005391439;-0.059667504082123436;;lateral
0.3;0.5116084218025208;0.30466607213020325;-0.10365767031908035;0.48987922072410583;0.36311131715774536;0.06662534922361374;0.4900304675102234;0.36084455251693726;-0.21049848198890686;0.48852992057800293;0.46788838505744934;0.08805761486291885;0.49209484457969666;0.4726240932941437;-0.2396695464849472;0.4870215356349945;0.5424648523330688;0.08614621311426163;0.49123814702033997;0.5423879027366638;-0.08618659526109695;0.4916149973869324;0.6830409169197083;0.11359874159097672;0.49183881282806396;0.6869644522666931;-0.06990225613117218;0.50860635638237;0.2838630110025406;-0.09222424421459437;0.5033722072839737;0.5704060047864914;0.032855370081961155;0.516208603978157;0.5782336592674255;-0.23784923553466797;0.49326889713605243;0.8281353910764059;0.17070916295051575;0.4939378301302592;0.8503460685412089;-0.05111588972310225;;lateral
0.33;0.5115700364112854;0.3046862483024597;-0.10327160358428955;0.4898597300052643;0.3631118834018707;0.06600011885166168;0.48970603942871094;0.3608491122722626;-0.2103588581085205;0.4886445701122284;0.4676913022994995;0.08755098283290863;0.4918575882911682;0.47262075543403625;-0.23927925527095795;0.48703625798225403;0.5425623655319214;0.08539918065071106;0.4909961521625519;0.5423896312713623;-0.08544006198644638;0.4916130304336548;0.6830691695213318;0.10783708095550537;0.49149802327156067;0.6867099404335022;-0.0680430680513382;0.5085690319538116;0.28387532830238343;-0.0918871222063899;0.5033364742994308;0.5704840868711472;0.03259028075262904;0.5159191340208054;0.578209862112999;-0.2376427836716175;0.49323121706644696;0.8287961284319559;0.16033447782198587;0.4938329855600993;0.8504154682159424;-0.04728570953011513;;lateral
