segundo,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_23_x,landmark_23_y,landmark_23_z,landmark_24_x,landmark_24_y,landmark_24_z,landmark_25_x,landmark_25_y,landmark_25_z,landmark_26_x,landmark_26_y,landmark_26_z,cara_prom_x,cara_prom_y,cara_prom_z,mano_izquierda_prom_x,mano_izquierda_prom_y,mano_izquierda_prom_z,mano_derecha_prom_x,mano_derecha_prom_y,mano_derecha_prom_z,pie_izquierdo_prom_x,pie_izquierdo_prom_y,pie_izquierdo_prom_z,pie_derecho_prom_x,pie_derecho_prom_y,pie_derecho_prom_z,Unnamed: 43,Etiqueta,Vista,Etiqueta 
0.03,0.5721554756164551,0.2933878600597381,-0.1968153268098831,0.6073964238166809,0.3388999700546264,-0.082124724984169,0.5491105318069458,0.3402964770793915,-0.0880172923207283,0.6217091679573059,0.4150289595127105,-0.0414318367838859,0.5446988344192505,0.4224391579627991,-0.0562722757458686,0.597869336605072,0.5008116364479065,0.0011136389803141356,0.5671022534370422,0.5034428238868713,-0.0011729736579582095,0.5938020348548889,0.6085494756698608,0.047691885381937,0.5657272338867188,0.6094436645507812,0.0431950278580188,0.5768645823001861,0.2744078010320663,-0.1992248684167862,0.6205492168664932,0.4955694675445556,-0.1338354591280222,0.5535530000925064,0.5108832865953445,-0.1371190715581178,0.5872366031010946,0.7137582500775655,0.196908414363861,0.5695555210113525,0.7130679488182068,0.1831327279408773,,acercandose,frontal,
0.07,0.5725400447845459,0.2919316291809082,-0.1847073137760162,0.6072230339050293,0.3388311266899109,-0.070735327899456,0.5491028428077698,0.3403167426586151,-0.0819931998848915,0.6210964322090149,0.415260374546051,-0.041237611323595,0.5448606610298157,0.4224744141101837,-0.0561195351183414,0.5981132984161377,0.4981576204299927,0.0008949394687078893,0.5673031806945801,0.5007486939430237,-0.0009440985741093755,0.5936537981033325,0.6074508428573608,0.0278363563120365,0.5662098526954651,0.6073335409164429,0.0378532595932483,0.577214926481247,0.2740803956985473,-0.1850364357233047,0.6202564686536789,0.4953729584813118,-0.1440277621150016,0.5535619407892227,0.5073548182845116,-0.1376133188605308,0.5872031251589457,0.7129712700843811,0.1830501705408096,0.5700966318448385,0.7112790942192078,0.1805981695652008,,acercandose,frontal,
0.1,0.5728718638420105,0.291382372379303,-0.1831627935171127,0.607184886932373,0.3388351202011108,-0.0677783489227294,0.5490773916244507,0.3403822183609009,-0.0799220949411392,0.6204625964164734,0.4159241318702698,-0.0439135804772377,0.5448610782623291,0.4226236641407013,-0.0573455803096294,0.5981041193008423,0.4975363612174988,0.0004707520711235702,0.5673012137413025,0.4998170137405395,-0.0005082759307697415,0.5933977961540222,0.6073925495147705,0.0233649779111146,0.5663485527038574,0.607282280921936,0.0380031540989875,0.5774805843830109,0.2738278239965439,-0.183183828741312,0.6198063492774963,0.4958548471331596,-0.1579183675348758,0.5536087900400162,0.5065649896860123,-0.1430334169417619,0.5871623953183492,0.7129717270533243,0.1801908661921819,0.5708383719126383,0.7103122075398763,0.1823750883340835,,acercandose,frontal,
0.13,0.5731827616691589,0.2909204661846161,-0.1788563132286071,0.6071998476982117,0.3387947678565979,-0.0645704194903373,0.5491034388542175,0.3403824865818023,-0.0764256343245506,0.6199265718460083,0.4170109331607818,-0.043720182031393,0.5446562170982361,0.4225677847862243,-0.0571960024535656,0.5980311036109924,0.4972052574157715,0.0004731810186058283,0.567283034324646,0.4989658892154693,-0.0005118150147609413,0.5932697653770447,0.6072934865951538,0.023422036319971,0.5664408206939697,0.6072238087654114,0.0340093895792961,0.5777063488960266,0.2732956737279892,-0.1789154104888439,0.6193825900554657,0.4963511973619461,-0.1548610925674438,0.553650289773941,0.5060391873121262,-0.1423716060817241,0.5872197151184082,0.7131541967391968,0.1714808071653048,0.5713093082110087,0.7101376454035441,0.1725801403323809,,acercandose,frontal,
0.17,0.573285698890686,0.2908748388290405,-0.1824878603219986,0.6072137355804443,0.3387854695320129,-0.0677179470658302,0.5491326451301575,0.3403406739234924,-0.0782634913921356,0.619367778301239,0.417840838432312,-0.0440886467695236,0.5444401502609253,0.4223821759223938,-0.0574316531419754,0.5978868007659912,0.4967221915721893,0.00047686841571703553,0.567248523235321,0.4981078207492828,-0.0005158169660717249,0.5931566953659058,0.6072990298271179,0.0198940616101026,0.5664572715759277,0.6072582602500916,0.0315386839210987,0.5777663469314576,0.2731290310621261,-0.1831894963979721,0.6190782785415649,0.4966810569167137,-0.1527469418942928,0.5536430329084396,0.505593828856945,-0.1418123114854097,0.5872476895650228,0.7132222453753153,0.1700558985273043,0.5716908176740011,0.7100531856218973,0.1707517405351003,,acercandose,frontal,
0.2,0.5736307501792908,0.2907015681266784,-0.1836693733930587,0.6073278784751892,0.3388028442859649,-0.0693039074540138,0.5492993593215942,0.3402892053127289,-0.0790260359644889,0.6191040873527527,0.4188174605369568,-0.0435485541820526,0.5442644357681274,0.4220499992370605,-0.0577971898019313,0.5977879762649536,0.4965046942234039,0.000479311915114522,0.5671713948249817,0.4978204071521759,-0.0005184735055081546,0.5930043458938599,0.6072973012924194,0.0207396876066923,0.566483199596405,0.6076400279998779,0.0313876904547214,0.5779735028743744,0.2729268133640289,-0.1846473224461078,0.618701845407486,0.4968307465314865,-0.1507813557982444,0.5533710420131683,0.5053067952394485,-0.1415060311555862,0.5872863133748373,0.7128838102022806,0.1721568529804547,0.571925679842631,0.7101651231447855,0.1708972528576851,,acercandose,frontal,
0.23,0.5737832188606262,0.2905721068382263,-0.1801610141992569,0.6073805093765259,0.3388371467590332,-0.0670462176203727,0.5495336055755615,0.3402813673019409,-0.0748901292681694,0.6185688972473145,0.4197309911251068,-0.0416871607303619,0.5442166924476624,0.4219053387641907,-0.052575871348381,0.5974240303039551,0.496432900428772,0.0004042859363835305,0.5668943524360657,0.4976868629455566,-0.00044410390546545386,0.5928378701210022,0.6072841286659241,0.0163929592818021,0.5665075778961182,0.6077648401260376,0.0289308223873376,0.5780685186386109,0.272789391875267,-0.1812760323286056,0.618431806564331,0.4973240569233894,-0.1455975584685802,0.55275759100914,0.5054124891757965,-0.1331640109419822,0.5872918367385864,0.7127635876337687,0.1634726201494535,0.5719958345095316,0.7102583646774292,0.1649588545163472,,acercandose,frontal,
0.27,0.5738299489021301,0.2907505929470062,-0.176602303981781,0.6074016690254211,0.3388472199440002,-0.0648166239261627,0.5496299266815186,0.3402746319770813,-0.0719581022858619,0.6179316639900208,0.4204643666744232,-0.0393849946558475,0.5442175269126892,0.4219040870666504,-0.0484858490526676,0.5971670150756836,0.4964821636676788,0.00014115797239355743,0.5665781497955322,0.4976968765258789,-0.0001824621722334996,0.5927363038063049,0.6072670221328735,0.0138586452230811,0.5665121078491211,0.6077921390533447,0.0274008549749851,0.5781324565410614,0.2729075402021408,-0.1781058087944984,0.6178213506937027,0.4980032593011856,-0.1419198140501976,0.5518941879272461,0.5055469870567322,-0.1289053987711668,0.5871718128522238,0.7129538853963217,0.1559913754463195,0.571945071220398,0.7102728088696798,0.1612185587485631,,acercandose,frontal,
0.3,0.5738232731819153,0.2909929454326629,-0.1746303737163543,0.6074551343917847,0.3388483822345733,-0.0658791437745094,0.5497297048568726,0.3403158485889435,-0.0691519975662231,0.6178528666496277,0.420712947845459,-0.0409712195396423,0.5442435145378113,0.4219112396240234,-0.0443357154726982,0.5970855355262756,0.4964869320392608,-0.0009822763968259096,0.5665146708488464,0.4977052509784698,0.0009418105473741889,0.5926985740661621,0.6070425510406494,0.0091608669608831,0.5665307641029358,0.6078099012374878,0.0260292384773492,0.5781504511833191,0.2730794489383698,-0.1762968815863132,0.6167973428964615,0.4986582919955253,-0.1428323462605476,0.5505560487508774,0.5057265013456345,-0.1247489750385284,0.5870429674784342,0.7130686044692993,0.1461043208837509,0.571825365225474,0.7102535168329874,0.1550240566333135,,acercandose,frontal,
0.33,0.5738958716392517,0.2912568747997284,-0.1732992529869079,0.6075712442398071,0.3388390839099884,-0.0659660100936889,0.5498534440994263,0.3403178751468658,-0.0678045228123664,0.617596447467804,0.4208511114120483,-0.0408289581537246,0.5443956851959229,0.421913206577301,-0.0424418300390243,0.5969672203063965,0.496655136346817,-0.0018534957198426127,0.566483736038208,0.4977344572544098,0.0018176160519942641,0.5927014946937561,0.6070245504379272,0.0082403318956494,0.5665442943572998,0.6079719662666321,0.0268155597150325,0.5782298982143402,0.2731766223907471,-0.1751852735877037,0.6146175861358643,0.5007699280977249,-0.1412078496068716,0.5498580634593964,0.5057942718267441,-0.1246001478284597,0.586957573890686,0.7131395936012268,0.1472348521153132,0.5717911521593729,0.7102299531300863,0.1568541576464971,,acercandose,frontal,
